インスタンスタイプ,インスタンスファミリー,インスタンスサイズ,アベイラビリティーゾーン,無料利用枠の対象,無料トライアルが利用できます,ベアメタル,ハイパーバイザー,vCPU,アーキテクチャ,コア,有効なコア,コアごとのスレッド,コアあたり有効なスレッド,持続クロック速度 (GHz),メモリ (GiB),ストレージ (GB),ローカルインスタンスストレージ,ストレージタイプ,ストレージディスク数,EBS 暗号化のサポート,EBS 最適化のサポート,ネットワークパフォーマンス,ベースライン帯域幅 (Gbps),バースト帯域幅 (Gbps),ENA 対応,ネットワークインターフェイスの最大数,インターフェイスあたりの IPv4 アドレス,インターフェイスあたりの IPv6 アドレス,IPv6 サポート,サポートされているプレイスメントグループ戦略,GPU,FPGA,自動復旧のサポート,サポートされているルートデバイスタイプ,Dedicated Host のサポート,オンデマンド休止のサポート,バースト可能パフォーマンスのサポート,現行世代,ENA Express のサポート,オンデマンド Windows 料金(USD/時間),オンデマンド Linux 料金(USD/時間),オンデマンド SUSE 料金(USD/時間),オンデマンド RHEL 料金(USD/時間),"オンデマンド ap-northeast-1-tpe-1 Windows 料金(USD/時間)","オンデマンド ap-northeast-1-tpe-1 SUSE 料金(USD/時間)","オンデマンド ap-northeast-1-tpe-1 RHEL 料金(USD/時間)","オンデマンド ap-northeast-1-tpe-1 Linux 料金(USD/時間)",最大帯域幅 (Mbps),最大スループット (MB/秒､128 KiB I/O),最大 IOPS (16 KiB I/O),ベースラインの帯域幅 (Mbps),ベースラインスループット (MB/秒、128 KiB I/O),ベースライン IOPS (16 KiB I/O)
t1.micro,t1,micro,"az1, az4",FALSE,FALSE,FALSE,xen,1,"i386, x86_64",1,-,1,-,,0.612,-,-,-,-,supported,unsupported,極低,-,-,unsupported,2,2,-,-,"partition, spread",-,-,True,ebs,-,-,-,FALSE,FALSE,0.033,0.026,0.026,0.086,,,,,-,-,-,-,-,-
t2.nano,t2,nano,"az4, az2, az1",FALSE,FALSE,FALSE,xen,1,"i386, x86_64",1,-,1,-,2.4,0.5,-,-,-,-,supported,unsupported,低-中,-,-,unsupported,2,2,2,True,"partition, spread",-,-,True,ebs,-,True,True,TRUE,FALSE,0.0099,0.0076,0.0076,,,,,,-,-,-,-,-,-
t2.micro,t2,micro,"az2, az4, az1",TRUE,FALSE,FALSE,xen,1,"i386, x86_64",1,-,1,-,2.5,1,-,-,-,-,supported,unsupported,低-中,-,-,unsupported,2,2,2,True,"partition, spread",-,-,True,ebs,-,True,True,TRUE,FALSE,0.0198,0.0152,0.0152,0.0752,,,,,-,-,-,-,-,-
t2.small,t2,small,"az2, az1, az4",FALSE,FALSE,FALSE,xen,1,"i386, x86_64",1,-,1,-,2.5,2,-,-,-,-,supported,unsupported,低-中,-,-,unsupported,3,4,4,True,"partition, spread",-,-,True,ebs,-,True,True,TRUE,FALSE,0.0396,0.0304,0.0604,0.0904,,,,,-,-,-,-,-,-
t2.medium,t2,medium,"az1, az4, az2",FALSE,FALSE,FALSE,xen,2,"i386, x86_64",2,-,1,-,2.3,4,-,-,-,-,supported,unsupported,低-中,-,-,unsupported,3,6,6,True,"partition, spread",-,-,True,ebs,-,True,True,TRUE,FALSE,0.0788,0.0608,0.1608,0.1208,,,,,-,-,-,-,-,-
t2.large,t2,large,"az1, az4, az2",FALSE,FALSE,FALSE,xen,2,x86_64,2,-,1,-,2.3,8,-,-,-,-,supported,unsupported,低-中,-,-,unsupported,3,12,12,True,"partition, spread",-,-,True,ebs,-,True,True,TRUE,FALSE,0.1496,0.1216,0.2216,0.1816,,,,,-,-,-,-,-,-
t2.xlarge,t2,xlarge,"az4, az1, az2",FALSE,FALSE,FALSE,xen,4,x86_64,4,-,1,-,2.3,16,-,-,-,-,supported,unsupported,中,-,-,unsupported,3,15,15,True,"partition, spread",-,-,True,ebs,-,True,True,TRUE,FALSE,0.2842,0.2432,0.3432,0.3032,,,,,-,-,-,-,-,-
t2.2xlarge,t2,2xlarge,"az1, az4, az2",FALSE,FALSE,FALSE,xen,8,x86_64,8,-,1,-,2.3,32,-,-,-,-,supported,unsupported,中,-,-,unsupported,3,15,15,True,"partition, spread",-,-,True,ebs,-,True,True,TRUE,FALSE,0.5484,0.4864,0.5864,0.6164,,,,,-,-,-,-,-,-
t3.nano,t3,nano,"az1, az4, az2",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",2.5,0.5,-,-,-,-,supported,default,max 5G,0.032,5,required,2,2,2,True,"partition, spread",-,-,True,ebs,True,True,True,TRUE,FALSE,0.0114,0.0068,0.0068,,,,,,2085,260.62,11800,43,5.38,250
t3.micro,t3,micro,"az1, az4, az2",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",2.5,1,-,-,-,-,supported,default,max 5G,0.064,5,required,2,2,2,True,"partition, spread",-,-,True,ebs,True,True,True,TRUE,FALSE,0.0228,0.0136,0.0136,0.0736,,,,,2085,260.62,11800,87,10.88,500
t3.small,t3,small,"az4, az2, az1",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",2.5,2,-,-,-,-,supported,default,max 5G,0.128,5,required,3,4,4,True,"partition, spread",-,-,True,ebs,True,True,True,TRUE,FALSE,0.0456,0.0272,0.0582,0.0872,,,,,2085,260.62,11800,174,21.75,1000
t3.medium,t3,medium,"az2, az4, az1",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",2.5,4,-,-,-,-,supported,default,max 5G,0.256,5,required,3,6,6,True,"partition, spread",-,-,True,ebs,True,True,True,TRUE,FALSE,0.0728,0.0544,0.1107,0.1144,0.0864,0.1243,0.128,0.068,2085,260.62,11800,347,43.38,2000
t3.large,t3,large,"az4, az1, az2",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",2.5,8,-,-,-,-,supported,default,max 5G,0.512,5,required,3,12,12,True,"partition, spread",-,-,True,ebs,True,True,True,TRUE,FALSE,0.1364,0.1088,0.1651,0.1688,,,,,2780,347.5,15700,695,86.88,4000
t3.xlarge,t3,xlarge,"az4, az2, az1",FALSE,FALSE,FALSE,nitro,4,x86_64,2,2,2,"1,2",2.5,16,-,-,-,-,supported,default,max 5G,1.024,5,required,4,15,15,True,"partition, spread",-,-,True,ebs,True,True,True,TRUE,FALSE,0.2912,0.2176,0.2739,0.2776,0.3456,0.3283,0.332,0.272,2780,347.5,15700,695,86.88,4000
t3.2xlarge,t3,2xlarge,"az1, az4, az2",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"2,4",2,"1,2",2.5,32,-,-,-,-,supported,default,max 5G,2.048,5,required,4,15,15,True,"partition, spread",-,-,True,ebs,True,True,True,TRUE,FALSE,0.5824,0.4352,0.5602,0.5652,,,,,2780,347.5,15700,695,86.88,4000
a1.medium,a1,medium,"az2, az4",FALSE,FALSE,FALSE,nitro,1,arm64,1,-,1,-,2.3,2,-,-,-,-,supported,default,max 10G,0.5,10,required,2,4,4,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,FALSE,FALSE,,0.0321,0.0631,0.0921,,,,,3500,437.5,20000,300,37.5,2500
a1.large,a1,large,"az4, az2",FALSE,FALSE,FALSE,nitro,2,arm64,2,-,1,-,2.3,4,-,-,-,-,supported,default,max 10G,0.75,10,required,3,10,10,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,FALSE,FALSE,,0.0642,0.1205,0.1242,,,,,3500,437.5,20000,525,65.62,4000
a1.xlarge,a1,xlarge,"az4, az2",FALSE,FALSE,FALSE,nitro,4,arm64,4,-,1,-,2.3,8,-,-,-,-,supported,default,max 10G,1.25,10,required,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,FALSE,FALSE,,0.1284,0.1847,0.1884,,,,,3500,437.5,20000,800,100,6000
a1.2xlarge,a1,2xlarge,"az2, az4",FALSE,FALSE,FALSE,nitro,8,arm64,8,-,1,-,2.3,16,-,-,-,-,supported,default,max 10G,2.5,10,required,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,FALSE,FALSE,,0.2568,0.3818,0.3868,,,,,3500,437.5,20000,1750,218.75,10000
a1.4xlarge,a1,4xlarge,"az4, az2",FALSE,FALSE,FALSE,nitro,16,arm64,16,-,1,-,2.3,32,-,-,-,-,supported,default,max 10G,5,10,required,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,FALSE,FALSE,,0.5136,0.6386,0.6436,,,,,3500,437.5,20000,3500,437.5,20000
a1.metal,a1,metal,"az2, az4",FALSE,FALSE,TRUE,,16,arm64,16,-,1,-,2.3,32,-,-,-,-,supported,default,max 10G,5,10,required,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,FALSE,FALSE,,0.514,0.639,0.644,,,,,3500,437.5,20000,3500,437.5,20000
c1.medium,c1,medium,"az1, az4",FALSE,FALSE,FALSE,xen,2,"i386, x86_64",2,-,1,-,,1.7,350,True,hdd,1,supported,unsupported,中,-,-,unsupported,2,6,-,-,"partition, spread",-,-,-,"ebs, instance-store",-,-,-,FALSE,FALSE,0.258,0.158,0.258,0.218,,,,,-,-,-,-,-,-
c1.xlarge,c1,xlarge,"az1, az4",FALSE,FALSE,FALSE,xen,8,x86_64,8,-,1,-,,7,1680,True,hdd,4,supported,supported,高,-,-,unsupported,4,15,-,-,"partition, spread",-,-,-,"ebs, instance-store",-,-,-,FALSE,FALSE,1.032,0.632,0.732,0.762,,,,,1000,125,8000,1000,125,0
c3.large,c3,large,"az4, az1",FALSE,FALSE,FALSE,xen,2,"i386, x86_64",1,1,2,"1,2",2.8,3.75,32,True,ssd,2,supported,unsupported,中,-,-,unsupported,3,10,10,True,"cluster, partition, spread",-,-,True,"ebs, instance-store",True,True,-,FALSE,FALSE,0.231,0.128,0.228,0.188,,,,,-,-,-,-,-,-
c3.xlarge,c3,xlarge,"az4, az1",FALSE,FALSE,FALSE,xen,4,x86_64,2,"1,2",2,"1,2",2.8,7.5,80,True,ssd,2,supported,supported,中,-,-,unsupported,4,15,15,True,"cluster, partition, spread",-,-,True,"ebs, instance-store",True,True,-,FALSE,FALSE,0.462,0.255,0.355,0.315,,,,,500,62.5,4000,500,62.5,0
c3.2xlarge,c3,2xlarge,"az4, az1",FALSE,FALSE,FALSE,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.8,15,160,True,ssd,2,supported,supported,高,-,-,unsupported,4,15,15,True,"cluster, partition, spread",-,-,True,"ebs, instance-store",True,True,-,FALSE,FALSE,0.925,0.511,0.611,0.641,,,,,1000,125,8000,1000,125,0
c3.4xlarge,c3,4xlarge,"az4, az1",FALSE,FALSE,FALSE,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.8,30,320,True,ssd,2,supported,supported,高,-,-,unsupported,8,30,30,True,"cluster, partition, spread",-,-,True,"ebs, instance-store",True,True,-,FALSE,FALSE,1.849,1.021,1.121,1.151,,,,,2000,250,16000,2000,250,0
c3.8xlarge,c3,8xlarge,"az4, az1",FALSE,FALSE,FALSE,xen,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",2.8,60,640,True,ssd,2,supported,unsupported,10G,-,-,unsupported,8,30,30,True,"cluster, partition, spread",-,-,True,"ebs, instance-store",True,True,-,FALSE,FALSE,3.699,2.043,2.143,2.173,,,,,-,-,-,-,-,-
c4.large,c4,large,"az2, az1, az4",FALSE,FALSE,FALSE,xen,2,x86_64,1,1,2,"1,2",2.9,3.75,-,-,-,-,supported,default,中,-,-,unsupported,3,10,10,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,FALSE,FALSE,0.218,0.126,0.226,0.186,,,,,500,62.5,4000,500,62.5,4000
c4.xlarge,c4,xlarge,"az1, az4, az2",FALSE,FALSE,FALSE,xen,4,x86_64,2,"1,2",2,"1,2",2.9,7.5,-,-,-,-,supported,default,高,-,-,unsupported,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,FALSE,FALSE,0.436,0.252,0.352,0.312,,,,,750,93.75,6000,750,93.75,6000
c4.2xlarge,c4,2xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.9,15,-,-,-,-,supported,default,高,-,-,unsupported,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,FALSE,FALSE,0.872,0.504,0.604,0.634,,,,,1000,125,8000,1000,125,8000
c4.4xlarge,c4,4xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.9,30,-,-,-,-,supported,default,高,-,-,unsupported,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,FALSE,FALSE,1.744,1.008,1.108,1.138,,,,,2000,250,16000,2000,250,16000
c4.8xlarge,c4,8xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,xen,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",2.9,60,-,-,-,-,supported,default,10G,-,-,unsupported,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,FALSE,FALSE,3.672,2.016,2.116,2.146,,,,,4000,500,32000,4000,500,32000
c5.large,c5,large,"az1, az2, az4",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",3.4,4,-,-,-,-,supported,default,max 10G,0.75,10,required,3,10,10,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,TRUE,FALSE,0.199,0.107,0.163,0.167,,,,,4750,593.75,20000,650,81.25,4000
c5.xlarge,c5,xlarge,"az2, az4, az1",FALSE,FALSE,FALSE,nitro,4,x86_64,2,2,2,"1,2",3.4,8,-,-,-,-,supported,default,max 10G,1.25,10,required,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,TRUE,FALSE,0.398,0.214,0.27,0.274,,,,,4750,593.75,20000,1150,143.75,6000
c5.2xlarge,c5,2xlarge,"az1, az2, az4",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"2,4",2,"1,2",3.4,16,-,-,-,-,supported,default,max 10G,2.5,10,required,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,TRUE,FALSE,0.796,0.428,0.528,0.558,0.903,0.66,0.665,0.535,4750,593.75,20000,2300,287.5,10000
c5.4xlarge,c5,4xlarge,"az1, az2, az4",FALSE,FALSE,FALSE,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.4,32,-,-,-,-,supported,default,max 10G,5,10,required,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,TRUE,FALSE,1.592,0.856,0.956,0.986,,,,,4750,593.75,20000,4750,593.75,20000
c5.9xlarge,c5,9xlarge,"az4, az2, az1",FALSE,FALSE,FALSE,nitro,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",3.4,72,-,-,-,-,supported,default,12G,-,-,required,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,TRUE,FALSE,3.582,1.926,2.026,2.056,,,,,9500,1187.5,40000,9500,1187.5,40000
c5.12xlarge,c5,12xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.6,96,-,-,-,-,supported,default,12G,-,-,required,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,-,True,-,TRUE,FALSE,4.776,2.568,2.668,2.698,5.418,3.335,3.34,3.21,9500,1187.5,40000,9500,1187.5,40000
c5.18xlarge,c5,18xlarge,"az4, az1, az2",FALSE,FALSE,FALSE,nitro,72,x86_64,36,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36",2,"1,2",3.4,144,-,-,-,-,supported,default,25G,-,-,required,15,50,50,True,"cluster, partition, spread",-,-,True,ebs,True,True,-,TRUE,FALSE,7.164,3.852,3.952,3.982,,,,,19000,2375,80000,19000,2375,80000
c5.24xlarge,c5,24xlarge,"az4, az2, az1",FALSE,FALSE,FALSE,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.6,192,-,-,-,-,supported,default,25G,-,-,required,15,50,50,True,"cluster, partition, spread",-,-,True,ebs,-,-,-,TRUE,FALSE,9.552,5.136,5.236,5.266,,,,,19000,2375,80000,19000,2375,80000
c5.metal,c5,metal,"az4, az1, az2",FALSE,FALSE,TRUE,,96,x86_64,48,-,2,-,3.6,192,-,-,-,-,supported,default,25G,-,-,required,15,50,50,True,"cluster, partition, spread",-,-,True,ebs,-,-,-,TRUE,FALSE,9.552,5.136,5.236,5.266,,,,,19000,2375,80000,19000,2375,80000
c5a.large,c5a,large,"az4, az1",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",3.3,4,-,-,-,-,supported,default,max 10G,0.75,10,required,3,10,10,True,"cluster, partition, spread",-,-,True,ebs,-,-,-,TRUE,FALSE,0.188,0.096,0.152,0.156,,,,,3170,396.25,13300,200,25,800
c5a.xlarge,c5a,xlarge,"az4, az1",FALSE,FALSE,FALSE,nitro,4,x86_64,2,"1,2",2,"1,2",3.3,8,-,-,-,-,supported,default,max 10G,1.25,10,required,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,-,-,-,TRUE,FALSE,0.376,0.192,0.248,0.252,,,,,3170,396.25,13300,400,50,1600
c5a.2xlarge,c5a,2xlarge,"az1, az4",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.3,16,-,-,-,-,supported,default,max 10G,2.5,10,required,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,-,-,-,TRUE,FALSE,0.752,0.384,0.509,0.514,,,,,3170,396.25,13300,800,100,3200
c5a.4xlarge,c5a,4xlarge,"az1, az4",FALSE,FALSE,FALSE,nitro,16,x86_64,8,"1,2,3,4,8",2,"1,2",3.3,32,-,-,-,-,supported,default,max 10G,5,10,required,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,-,-,-,TRUE,FALSE,1.504,0.768,0.893,0.898,,,,,3170,396.25,13300,1580,197.5,6600
c5a.8xlarge,c5a,8xlarge,"az1, az4",FALSE,FALSE,FALSE,nitro,32,x86_64,16,"1,2,3,4,8,12,16",2,"1,2",3.3,64,-,-,-,-,supported,default,10G,-,-,required,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,-,-,-,TRUE,FALSE,3.008,1.536,1.661,1.666,,,,,3170,396.25,13300,3170,396.25,13300
c5a.12xlarge,c5a,12xlarge,"az4, az1",FALSE,FALSE,FALSE,nitro,48,x86_64,24,"1,2,3,4,8,12,16,20,24",2,"1,2",3.3,96,-,-,-,-,supported,default,12G,-,-,required,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,-,-,-,TRUE,FALSE,4.512,2.304,2.429,2.434,,,,,4750,593.75,20000,4750,593.75,20000
c5a.16xlarge,c5a,16xlarge,"az1, az4",FALSE,FALSE,FALSE,nitro,64,x86_64,32,"1,2,3,4,8,12,16,20,24,28,32",2,"1,2",3.3,128,-,-,-,-,supported,default,20G,-,-,required,15,50,50,True,"cluster, partition, spread",-,-,True,ebs,-,-,-,TRUE,FALSE,6.016,3.072,3.197,3.202,,,,,6300,787.5,26700,6300,787.5,26700
c5a.24xlarge,c5a,24xlarge,"az1, az4",FALSE,FALSE,FALSE,nitro,96,x86_64,48,"1,2,3,4,8,12,16,20,24,28,32,36,40,44,48",2,"1,2",3.3,192,-,-,-,-,supported,default,20G,-,-,required,15,50,50,True,"cluster, partition, spread",-,-,True,ebs,-,-,-,TRUE,FALSE,9.024,4.608,4.733,4.738,,,,,9500,1187.5,40000,9500,1187.5,40000
c5d.large,c5d,large,"az1, az4, az2",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",3.4,4,50,True,ssd,1,supported,default,max 10G,0.75,10,required,3,10,10,True,"cluster, partition, spread",-,-,-,ebs,True,True,-,TRUE,FALSE,0.214,0.122,0.178,0.182,,,,,4750,593.75,20000,650,81.25,4000
c5d.xlarge,c5d,xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,4,x86_64,2,2,2,"1,2",3.4,8,100,True,ssd,1,supported,default,max 10G,1.25,10,required,4,15,15,True,"cluster, partition, spread",-,-,-,ebs,True,True,-,TRUE,FALSE,0.428,0.244,0.3,0.304,,,,,4750,593.75,20000,1150,143.75,6000
c5d.2xlarge,c5d,2xlarge,"az4, az1, az2",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"2,4",2,"1,2",3.4,16,200,True,ssd,1,supported,default,max 10G,2.5,10,required,4,15,15,True,"cluster, partition, spread",-,-,-,ebs,True,True,-,TRUE,FALSE,0.856,0.488,0.588,0.618,,,,,4750,593.75,20000,2300,287.5,10000
c5d.4xlarge,c5d,4xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.4,32,400,True,ssd,1,supported,default,max 10G,5,10,required,8,30,30,True,"cluster, partition, spread",-,-,-,ebs,True,True,-,TRUE,FALSE,1.712,0.976,1.076,1.106,,,,,4750,593.75,20000,4750,593.75,20000
c5d.9xlarge,c5d,9xlarge,"az4, az2, az1",FALSE,FALSE,FALSE,nitro,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",3.4,72,900,True,ssd,1,supported,default,12G,-,-,required,8,30,30,True,"cluster, partition, spread",-,-,-,ebs,True,True,-,TRUE,FALSE,3.852,2.196,2.296,2.326,,,,,9500,1187.5,40000,9500,1187.5,40000
c5d.12xlarge,c5d,12xlarge,"az4, az1, az2",FALSE,FALSE,FALSE,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.6,96,1800,True,ssd,2,supported,default,12G,-,-,required,8,30,30,True,"cluster, partition, spread",-,-,-,ebs,-,True,-,TRUE,FALSE,5.136,2.928,3.028,3.058,,,,,9500,1187.5,40000,9500,1187.5,40000
c5d.18xlarge,c5d,18xlarge,"az1, az2, az4",FALSE,FALSE,FALSE,nitro,72,x86_64,36,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36",2,"1,2",3.4,144,1800,True,ssd,2,supported,default,25G,-,-,required,15,50,50,True,"cluster, partition, spread",-,-,-,ebs,True,True,-,TRUE,FALSE,7.704,4.392,4.492,4.522,,,,,19000,2375,80000,19000,2375,80000
c5d.24xlarge,c5d,24xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.6,192,3600,True,ssd,4,supported,default,25G,-,-,required,15,50,50,True,"cluster, partition, spread",-,-,-,ebs,-,-,-,TRUE,FALSE,10.272,5.856,5.956,5.986,,,,,19000,2375,80000,19000,2375,80000
c5d.metal,c5d,metal,"az1, az2, az4",FALSE,FALSE,TRUE,,96,x86_64,48,-,2,-,3.6,192,3600,True,ssd,4,supported,default,25G,-,-,required,15,50,50,True,"cluster, partition, spread",-,-,-,ebs,-,-,-,TRUE,FALSE,10.272,5.856,5.956,5.986,,,,,19000,2375,80000,19000,2375,80000
c5n.large,c5n,large,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",3.4,5.3,-,-,-,-,supported,default,max 25G,3,25,required,3,10,10,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,TRUE,FALSE,0.228,0.136,0.192,0.196,,,,,4750,593.75,20000,650,81.25,4000
c5n.xlarge,c5n,xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,4,x86_64,2,2,2,"1,2",3.4,10.5,-,-,-,-,supported,default,max 25G,5,25,required,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,TRUE,FALSE,0.456,0.272,0.328,0.332,,,,,4750,593.75,20000,1150,143.75,6000
c5n.2xlarge,c5n,2xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"2,4",2,"1,2",3.4,21,-,-,-,-,supported,default,max 25G,10,25,required,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,TRUE,FALSE,0.912,0.544,0.669,0.674,,,,,4750,593.75,20000,2300,287.5,10000
c5n.4xlarge,c5n,4xlarge,"az4, az1, az2",FALSE,FALSE,FALSE,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.4,42,-,-,-,-,supported,default,max 25G,15,25,required,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,TRUE,FALSE,1.824,1.088,1.213,1.218,,,,,4750,593.75,20000,4750,593.75,20000
c5n.9xlarge,c5n,9xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",3.4,96,-,-,-,-,supported,default,50G,-,-,required,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,TRUE,FALSE,4.104,2.448,2.573,2.578,,,,,9500,1187.5,40000,9500,1187.5,40000
c5n.18xlarge,c5n,18xlarge,"az1, az4, az2",FALSE,FALSE,FALSE,nitro,72,x86_64,36,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36",2,"1,2",3.4,192,-,-,-,-,supported,default,100G,-,-,required,15,50,50,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,TRUE,FALSE,8.208,4.896,5.021,5.026,,,,,19000,2375,80000,19000,2375,80000
c5n.metal,c5n,metal,"az2, az1, az4",FALSE,FALSE,TRUE,,72,x86_64,36,-,2,-,3.4,192,-,-,-,-,supported,default,100G,-,-,required,15,50,50,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,TRUE,FALSE,8.208,4.896,5.021,5.026,,,,,19000,2375,80000,19000,2375,80000
c6a.large,c6a,large,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",3.6,4,-,-,-,-,supported,default,max 12.5G,0.781,12.5,required,3,10,10,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,TRUE,FALSE,0.1883,0.0963,0.1526,0.1563,,,,,10000,1250,40000,650,81.25,3600
c6a.xlarge,c6a,xlarge,"az1, az2, az4",FALSE,FALSE,FALSE,nitro,4,x86_64,2,"1,2",2,"1,2",3.6,8,-,-,-,-,supported,default,max 12.5G,1.562,12.5,required,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,TRUE,FALSE,0.3766,0.1926,0.2489,0.2526,,,,,10000,1250,40000,1250,156.25,6000
c6a.2xlarge,c6a,2xlarge,"az4, az1, az2",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.6,16,-,-,-,-,supported,default,max 12.5G,3.125,12.5,required,4,15,15,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,TRUE,FALSE,0.7532,0.3852,0.5102,0.5152,,,,,10000,1250,40000,2500,312.5,12000
c6a.4xlarge,c6a,4xlarge,"az1, az4, az2",FALSE,FALSE,FALSE,nitro,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",3.6,32,-,-,-,-,supported,default,max 12.5G,6.25,12.5,required,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,TRUE,FALSE,1.5064,0.7704,0.8954,0.9004,,,,,10000,1250,40000,5000,625,20000
c6a.8xlarge,c6a,8xlarge,"az2, az4, az1",FALSE,FALSE,FALSE,nitro,32,x86_64,16,"4,6,8,10,12,14,16",2,"1,2",3.6,64,-,-,-,-,supported,default,12.5G,-,-,required,8,30,30,True,"cluster, partition, spread",-,-,True,ebs,True,-,-,TRUE,FALSE,3.0128,1.5408,1.6658,1.6708,,,,,10000,1250,40000,10000,1250,40000
